epoch|loss|val_loss
0|0.3785362243652344|2107.115966796875
1|0.1505289524793625|1956.951171875
2|0.1373390257358551|1884.4144287109375
3|0.12352308630943298|1878.46142578125
4|0.10848259925842285|1992.0286865234375
5|0.09942552447319031|1768.0806884765625
6|0.10003447532653809|1884.7584228515625
7|0.06723099201917648|1666.4461669921875
8|0.06532825529575348|1673.2313232421875
9|0.059927187860012054|1590.7213134765625
10|0.06774787604808807|1694.2933349609375
11|0.0491902157664299|1600.279296875
12|0.08787316828966141|1741.473876953125
13|0.069407157599926|1596.763916015625
14|0.10349076241254807|1943.1680908203125
15|0.11886953562498093|1888.068115234375
16|0.11917853355407715|1768.8604736328125
17|0.11736565083265305|1749.0487060546875
18|0.1100483238697052|1600.2208251953125
19|0.10465970635414124|1593.36083984375
20|0.10088340938091278|1709.9940185546875
21|0.10103758424520493|1633.547119140625
22|0.10938958823680878|1669.2161865234375
23|0.09995716065168381|1687.10205078125
24|0.10605891048908234|1639.9908447265625
25|0.09711045026779175|1242.0250244140625
26|0.09856106340885162|1678.49365234375
27|0.09889159351587296|1702.248779296875
28|0.09858488291501999|1630.9232177734375
29|0.08878334611654282|1702.5914306640625
30|0.09084916859865189|1664.0408935546875
31|0.1038622111082077|1729.3084716796875
32|0.09607168287038803|1654.4871826171875
33|0.09385961294174194|1664.339111328125
34|0.09573335200548172|1618.08447265625
35|0.09053049981594086|1596.6082763671875
36|0.10076011717319489|1453.76806640625
37|0.09049049764871597|1687.8785400390625
38|0.09090515226125717|1622.22314453125
39|0.09098828583955765|1722.58642578125
40|0.09842820465564728|1614.328857421875
41|0.08915045857429504|1681.0819091796875
42|0.08879438787698746|1613.73779296875
43|0.08803724497556686|1603.8145751953125
44|0.08325498551130295|1530.802490234375
45|0.09336894750595093|1698.4659423828125
