epoch|loss|val_loss
0|0.49459245800971985|1872.7857666015625
1|0.15775923430919647|1623.1614990234375
2|0.10629163682460785|1573.7764892578125
3|0.08741898834705353|1531.260498046875
4|0.09075763076543808|1664.14892578125
5|0.058072030544281006|1639.2950439453125
6|0.05009978264570236|1685.6053466796875
7|0.04662754014134407|1624.2728271484375
8|0.050456322729587555|1610.8922119140625
9|0.04029761999845505|1627.1793212890625
10|0.03572320193052292|1700.5045166015625
11|0.03595136106014252|1590.7833251953125
12|0.036974988877773285|1588.047607421875
13|0.03540739044547081|1649.727294921875
14|0.030787095427513123|1658.059814453125
15|0.030184561386704445|1740.70458984375
16|0.03681891784071922|1731.2056884765625
17|0.03279108181595802|1670.6748046875
18|0.02894461899995804|1693.781494140625
19|0.03326203674077988|1703.8359375
20|0.025419410318136215|1724.255615234375
21|0.030341779813170433|1693.971435546875
22|0.030680539086461067|1722.150146484375
23|0.028311077505350113|1652.197265625
